MWP,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,Simbad,_RA.icrs,_DE.icrs,rank
2G3520962-0003383,352.0963,-0.0338,0.49,0.73,0.54,0.64,0.24,10,58,0.68,,0.15,C,,1G352097-000343,G352.098-00.039,,,Simbad,261.385,-35.6071,2
2G3580086-0015094,358.0087,-0.1509,0.13,0.43,0.31,0.38,0.07,147,72,0.69,,0.14,C,,,G358.010-00.153,,,Simbad,265.3482,-30.7103,2
2G0055779-0021020,5.5779,-0.2102,0.26,0.35,0.27,0.32,0.12,50,99,0.64,,0.22,C,,,,,,Simbad,269.786,-24.243,2
2G3191514-0034897,319.1514,-0.349,0.72,3.37,2.85,3.12,0.46,21,101,0.54,0.21,0.37,R,,1G319188-003543,G319.188-00.329,,S100,Simbad,225.7199,-59.0178,2
2G3310253+0009778,331.0253,0.0978,0.23,0.46,0.39,0.43,0.19,43,102,0.55,0.12,0.09,C,,,G331.025+00.099,,,Simbad,242.2482,-51.6607,2
2G3277660+0016331,327.766,0.1633,0.23,1.04,0.76,0.91,0.11,44,54,0.68,,0.2,C,,1G327767+001650,G327.763+00.163,,,Simbad,238.1087,-53.7443,2
2G3392980-0001888,339.2981,-0.0189,0.16,0.49,0.38,0.44,0.1,67,80,0.63,0.11,0.2,R,,1G339298-000221,G339.299-00.020,,,Simbad,251.1123,-45.7916,2
2G3271407+0024138,327.1408,0.2414,1.17,1.54,1.12,1.34,0.74,66,88,0.69,0.17,0.18,R,,1G327146+002426,G327.139+00.242,,,Simbad,237.1988,-54.0755,2
2G3475390+0017254,347.539,0.1726,0.69,7.62,4.1,6.12,0.34,149,58,0.84,,0.16,C,,1G347529+002163,G347.620+00.146,,,Simbad,257.8693,-39.2156,2
2G0461102+0028635,46.1103,0.2863,0.12,0.22,0.14,0.19,0.1,149,61,0.76,0.05,0.12,C,,,G046.109+00.286,,,Simbad,288.6949,11.84,2
2G0432758-0044605,43.2758,-0.4461,0.81,1.0,0.73,0.87,0.31,177,96,0.68,0.18,0.22,R,,1G043279-004475,G043.277-00.448,,,Simbad,288.0177,8.9891,2
2G0040556-0001448,4.0557,-0.0145,0.02,0.15,0.12,0.14,0.02,38,58,0.61,,0.38,C,,,G004.056-00.015,,CN50,Simbad,268.7579,-25.4617,2
2G0271603+0000275,27.1603,0.0027,0.05,0.24,0.17,0.21,0.08,37,70,0.67,,0.17,C,,,G027.160+00.001,,,Simbad,280.2182,-5.1336,2
2G0313167+0004774,31.3168,0.0478,0.34,1.23,1.14,1.19,0.14,151,106,0.37,,0.31,C,,1G031308+000533,G031.309+00.044,,,Simbad,282.0803,-1.4156,2
2G0165601+0000225,16.5602,0.0023,0.07,0.31,0.19,0.26,0.06,89,66,0.8,0.28,0.34,R,,1G016560+000056,G016.560+00.002,,,Simbad,275.2275,-14.5273,2
2G3515914-0035630,351.5915,-0.3563,0.11,0.55,0.27,0.44,0.04,167,68,0.87,,0.14,C,,1G351585-003560,,,,Simbad,261.3654,-36.2059,2
2G3057622-0024963,305.7623,-0.2496,0.11,0.41,0.33,0.37,0.07,48,84,0.59,0.06,0.1,C,,1G305762-002495,G305.763-00.250,,,Simbad,199.1003,-62.9841,2
2G3302916+0049596,330.2917,0.496,0.24,1.14,1.01,1.07,0.27,16,115,0.46,0.36,0.29,R,,1G330292+004960,G330.286+00.494,,,Simbad,240.9369,-51.8555,2
2G0167957+0006212,16.7958,0.0621,0.32,0.41,0.31,0.37,0.1,142,69,0.67,0.07,0.14,R,,1G016800+000607,G016.794+00.061,,,Simbad,275.2876,-14.2913,2
2G0073498+0003241,7.3498,0.0324,0.1,0.38,0.33,0.35,0.08,6,97,0.5,0.28,0.23,R,,1G007350+000365,G007.350+00.032,,CN97,Simbad,270.5147,-22.5843,2
2G3054861+0033278,305.4861,0.3328,0.14,0.44,0.26,0.36,0.07,27,56,0.81,,0.16,C,,,G305.487+00.332,,,Simbad,198.3846,-62.4293,2
2G3337190-0002679,333.7191,-0.0268,0.08,0.47,0.37,0.42,0.06,65,31,0.6,,0.38,C,,,G333.719-00.027,,,Simbad,245.4617,-49.8874,2
2G3400917-0017180,340.0918,-0.1718,0.48,1.51,1.22,1.37,0.26,44,80,0.58,0.04,0.35,R,,1G340093-001704,G340.097-00.174,,,Simbad,252.0141,-45.2872,2
2G0377800-0021389,37.78,-0.2139,0.14,0.91,0.53,0.74,0.06,6,63,0.81,,0.14,C,D,,,,,Simbad,285.2651,4.2158,2
2G0286086-0001182,28.6086,-0.0118,0.56,0.98,0.72,0.86,0.28,14,154,0.68,0.16,0.29,R,,1G028610-000090,G028.605-00.013,,,Simbad,280.8957,-3.8523,2
2G3464180+0026067,346.418,0.2607,0.04,0.4,0.22,0.33,0.02,29,113,0.84,,0.53,C,,1G346416+002582,G346.416+00.257,,,Simbad,256.9108,-40.0639,2
2G3558804-0052267,355.8804,-0.5227,0.21,1.46,1.09,1.29,0.26,129,91,0.67,0.17,0.24,R,,1G355878-005186,G355.882-00.524,,CS34,Simbad,264.3861,-32.7098,2
2G0198120+0001667,19.812,0.0167,0.34,1.01,0.84,0.93,0.2,24,93,0.55,0.29,0.33,R,,1G019814+000181,G019.818+00.010,,N27,Simbad,276.7779,-11.6472,2
2G0493802-0030761,49.3802,-0.3076,0.21,1.24,0.79,1.04,0.12,4,42,0.77,,0.25,C,,1G049381-003064,G049.384-00.298,5.3,,Simbad,290.8068,14.4508,2
2G0548372-0039918,54.8372,-0.3992,0.28,0.55,0.42,0.49,0.17,54,126,0.65,0.07,0.11,C,,1G054837-003984,,,,Simbad,293.6195,19.1987,2
2G0244383+0025094,24.4383,0.251,0.03,0.16,0.12,0.14,0.03,10,42,0.71,0.12,0.26,R,,,G024.438+00.250,7.7,,Simbad,278.7392,-7.4379,2
2G0491597-0006503,49.1597,-0.065,0.15,1.75,1.09,1.46,0.16,47,139,0.78,,0.18,C,,1G049161-000598,G049.163-00.066,5.3,,Simbad,290.4785,14.3708,2
2G3372534-0016653,337.2534,-0.1665,0.09,0.48,0.31,0.41,0.07,88,51,0.76,,0.3,C,,1G337254-001664,G337.253-00.165,,,Simbad,249.3023,-47.4215,2
2G3408570-0010357,340.857,-0.1036,0.07,0.37,0.21,0.3,0.04,149,52,0.83,,0.27,C,,1G340857-001056,G340.857-00.102,,,Simbad,252.6348,-44.6569,2
2G0214937-0015789,21.4937,-0.1579,0.1,0.26,0.19,0.23,0.06,11,18,0.68,,0.14,C,,,G021.494-00.159,11.7,,Simbad,277.7305,-10.2388,2
2G3423552-0005008,342.3552,-0.0501,0.11,0.71,0.63,0.67,0.09,13,103,0.45,0.24,0.45,R,,1G342355-000491,G342.354-00.047,14.8,,Simbad,253.8976,-43.4635,2
2G0073148-0012660,7.3148,-0.1266,1.24,3.36,2.89,3.13,0.82,4,103,0.51,0.13,0.3,R,,1G007315-001350,G007.303-00.125,,,Simbad,270.6458,-22.6933,2
2G3281162+0057052,328.1163,0.5705,0.38,1.12,0.77,0.96,0.28,16,93,0.72,,0.15,C,,1G328114+005732,G328.117+00.570,,,Simbad,238.1322,-53.2074,2
2G0180804+0006975,18.0805,0.0698,0.18,0.63,0.5,0.57,0.09,29,106,0.62,,0.22,C,,1G018081+000708,G018.076+00.068,11.8,,Simbad,275.9018,-13.1535,2
2G0494159-0019734,49.4159,-0.1973,0.27,2.21,1.94,2.08,0.26,86,71,0.48,,0.28,C,,1G049413-001928,G049.407-00.193,5.3,,Simbad,290.7238,14.5343,2
2G0039787-0079823,3.9787,-0.7982,0.23,0.96,0.85,0.91,0.23,78,113,0.46,0.33,0.4,R,,1G003978-007973,G003.975-00.797,,CN48,Simbad,269.4668,-25.9221,2
2G3263828-0007034,326.3829,-0.0703,0.69,1.51,0.7,1.18,0.23,70,96,0.89,0.11,0.17,R,,1G326381-000736,G326.380-00.072,,,Simbad,236.5058,-54.789,2
2G0094069-0009015,9.4069,-0.0901,0.19,0.3,0.21,0.26,0.09,171,124,0.72,0.14,0.14,R,,1G009404-000902,G009.405-00.091,,CN131,Simbad,271.7161,-20.852,2
2G0102626-0039943,10.2627,-0.3994,0.15,0.77,0.52,0.66,0.11,170,49,0.73,,0.17,C,,1G010262-003984,G010.259-00.401,,,Simbad,272.4486,-20.2539,2
2G0340949+0001809,34.0949,0.0181,0.09,0.49,0.29,0.41,0.05,44,93,0.8,,0.14,C,,1G034096+000203,G034.095+00.017,,,Simbad,283.3737,1.0433,2
2G3419634+0044011,341.9634,0.4401,0.97,1.59,1.38,1.49,0.59,23,109,0.5,0.08,0.31,R,,1G341963+004416,G341.962+00.437,,,Simbad,253.0331,-43.4578,2
2G0123548-0058216,12.3549,-0.5822,0.93,3.12,2.6,2.88,0.74,20,97,0.55,0.09,0.11,C,,1G012359-005614,G012.359-00.554,,,Simbad,273.6841,-18.5068,2
2G0532067+0015261,53.2067,0.1526,0.18,0.79,0.55,0.68,0.17,157,59,0.72,0.06,0.21,R,,1G053206+001514,G053.207+00.152,9.9,,Simbad,292.2801,18.036,2
2G0461740+0053330,46.1741,0.5333,0.21,0.7,0.59,0.64,0.13,175,147,0.54,0.15,0.26,R,,1G046175+005351,G046.173+00.533,11.5,,Simbad,288.5016,12.0112,2
2G0511938-0073692,51.1938,-0.7369,0.95,4.03,3.58,3.81,0.8,56,118,0.46,0.33,0.71,R,,1G051201-007383,G051.203-00.739,,,Simbad,292.0905,15.8429,2
2G3406435-0032240,340.6435,-0.3224,0.23,1.3,1.11,1.21,0.23,14,62,0.52,,0.24,C,,1G340636-003163,G340.638-00.319,,,Simbad,252.6797,-44.9609,2
2G0103173-0013476,10.3174,-0.1348,0.23,1.29,0.86,1.1,0.22,145,142,0.75,0.26,0.16,R,,1G010317-001386,G010.308-00.150,,CN148,Simbad,272.2301,-20.078,2
2G0244879-0024585,24.488,-0.2459,0.65,2.96,1.86,2.47,0.65,131,118,0.78,,0.15,C,P,1G024499-002429,G024.493-00.219,9.7,,Simbad,279.2073,-7.6223,2
2G0051897-0028621,5.1897,-0.2862,0.53,0.82,0.68,0.75,0.22,40,120,0.55,0.2,0.29,R,,1G005190-002877,G005.189-00.285,,CN64,Simbad,269.6456,-24.6174,2
2G3346618-0028276,334.6618,-0.2828,0.24,0.62,0.37,0.51,0.22,180,54,0.8,0.11,0.36,R,,1G334660-002835,G334.659-00.286,,,Simbad,246.7642,-49.3945,2
2G0136275+0019630,13.6276,0.1963,0.17,0.21,0.15,0.18,0.07,19,74,0.69,0.1,0.1,C,,1G013630+001949,,,,Simbad,273.6043,-17.0169,2
2G0284185-0013231,28.4185,-0.1323,0.19,0.57,0.47,0.52,0.23,33,84,0.58,0.23,0.15,R,,1G028419-001322,G028.420-00.131,,,Simbad,280.916,-4.0765,2
2G3101742-0024777,310.1742,-0.2478,0.06,0.5,0.47,0.49,0.03,91,87,0.28,,0.32,C,,1G310175-002488,G310.182-00.247,,,Simbad,208.5593,-62.2333,2
2G3328655-0056924,332.8656,-0.5693,0.13,0.9,0.73,0.82,0.13,105,114,0.58,0.2,0.21,R,,1G332865-005687,G332.861-00.573,,S49,Simbad,245.1132,-50.8739,2
2G3558423-0048948,355.8423,-0.4895,0.12,0.66,0.47,0.57,0.09,11,62,0.71,,0.21,C,,1G355843-004891,G355.842-00.490,,,Simbad,264.3285,-32.7242,2
2G3555043-0006262,355.5044,-0.0626,0.03,0.21,0.18,0.2,0.02,15,67,0.51,,0.2,C,,,G355.504-00.062,,CS35,Simbad,263.6844,-32.7786,2
2G3454765-0022154,345.4766,-0.2215,0.12,0.22,0.18,0.2,0.08,4,86,0.6,0.04,0.24,R,,,G345.477-00.221,,,Simbad,256.6737,-41.1062,2
2G0120854-0041270,12.0854,-0.4127,0.46,0.5,0.34,0.43,0.14,91,36,0.72,,0.18,C,,1G012088-004139,G012.089-00.414,,,Simbad,273.3911,-18.6625,2
2G0274957+0019652,27.4958,0.1965,0.06,0.45,0.35,0.4,0.04,28,88,0.63,,0.43,C,,,,,,Simbad,280.1995,-4.7466,2
2G0462135+0054714,46.2135,0.5472,0.08,0.31,0.26,0.29,0.08,28,103,0.54,0.17,0.27,R,,1G046214+005477,G046.213+00.547,11.5,,Simbad,288.5078,12.0525,2
2G3202557-0030016,320.2558,-0.3002,0.17,0.65,0.36,0.53,0.12,79,84,0.83,0.1,0.35,R,D,1G320257-003014,,,,Simbad,227.5223,-58.4291,2
2G3391705+0009299,339.1705,0.093,0.56,0.57,0.42,0.5,0.19,168,96,0.68,0.07,0.1,C,,1G339174+000930,G339.176+00.098,,,Simbad,250.8711,-45.8147,2
2G3420479+0039191,342.048,0.3919,0.29,1.64,1.07,1.38,0.15,38,45,0.76,,0.19,C,,1G342040+003934,,,S20,Simbad,253.1584,-43.423,2
2G3314745-0013858,331.4746,-0.1386,0.06,0.19,0.15,0.17,0.05,152,80,0.61,0.23,0.26,R,,,G331.475-00.138,,,Simbad,243.0374,-51.5288,2
2G3364056+0002708,336.4057,0.0271,0.35,0.65,0.42,0.55,0.2,157,92,0.76,0.18,0.18,R,,1G336405+000271,,,,Simbad,248.2396,-47.9155,2
2G0252809-0030408,25.2809,-0.3041,0.63,2.6,1.79,2.23,0.57,45,108,0.72,,0.3,C,,1G025268-003041,G025.291-00.303,11.2,,Simbad,279.6264,-6.9447,2
2G0363812+0001697,36.3813,0.017,0.05,0.61,0.37,0.51,0.04,91,92,0.8,,0.18,C,,1G036382+000172,G036.380+00.014,,,Simbad,284.4187,3.0773,2
2G3438112+0015293,343.8112,0.1529,0.32,0.64,0.48,0.57,0.22,10,89,0.66,0.15,0.33,R,,1G343812+001516,G343.811+00.151,17.0,,Simbad,254.9173,-42.1978,2
2G0175832+0008897,17.5832,0.089,0.1,0.39,0.31,0.35,0.15,168,101,0.61,0.36,0.14,R,,1G017585+000894,G017.584+00.088,,,Simbad,275.6446,-13.5837,2
2G0042026-0002616,4.2026,-0.0262,0.16,0.3,0.26,0.28,0.15,18,87,0.47,0.28,0.1,R,,1G004203-000259,G004.202-00.027,,CN53,Simbad,268.8511,-25.3408,2
2G0574719+0030381,57.472,0.3038,0.43,1.08,0.86,0.98,0.19,12,129,0.6,0.12,0.36,R,,1G057471+003043,G057.470+00.303,,,Simbad,294.3347,21.8422,2
2G0431630-0007096,43.1631,-0.071,0.13,0.32,0.23,0.28,0.07,32,84,0.7,0.06,0.12,C,,1G043164-000682,G043.162-00.071,12.2,,Simbad,287.6281,9.0627,2
2G3180030-0065227,318.003,-0.6523,1.42,5.2,4.33,4.78,0.79,35,78,0.55,,0.34,C,,1G317983-006559,G317.979-00.672,,S103,Simbad,224.0106,-59.827,2
2G3457087+0016103,345.7087,0.161,0.43,0.98,0.66,0.84,0.21,3,81,0.74,0.15,0.12,R,,1G345715+001570,G345.711+00.159,,,Simbad,256.4551,-40.6904,2
2G0281417+0032946,28.1417,0.3295,0.14,0.32,0.21,0.27,0.07,38,39,0.76,,0.2,C,D,,G028.140+00.327,,,Simbad,280.3774,-4.1115,2
2G3326036-0072792,332.6037,-0.7279,0.1,0.7,0.66,0.68,0.08,15,74,0.33,,0.21,C,,1G332604-007273,G332.601-00.727,,,Simbad,244.9945,-51.1709,2
2G0055034-0025338,5.5034,-0.2534,0.07,0.43,0.33,0.39,0.05,3,80,0.63,,0.2,C,,1G005504-002529,G005.503-00.252,,,Simbad,269.7864,-24.3292,2
2G0291346-0014296,29.1347,-0.143,0.18,0.53,0.38,0.46,0.19,11,86,0.7,0.3,0.27,R,,1G029136-001438,G029.134-00.145,,,Simbad,281.2534,-3.4443,2
2G3166828-0019366,316.6829,-0.1937,0.11,0.36,0.28,0.32,0.08,25,75,0.6,0.23,0.21,R,,,G316.679-00.197,,,Simbad,221.244,-59.9989,2
2G3018219+0078494,301.822,0.785,0.6,0.62,0.46,0.55,0.22,45,86,0.68,0.2,0.28,R,,1G301821+007850,G301.817+00.784,4.5,,Simbad,190.4898,-62.0663,2
2G3210341-0050835,321.0342,-0.5083,1.06,1.71,1.13,1.45,0.43,27,82,0.75,0.07,0.23,R,,1G321040-004969,,,,Simbad,228.9965,-58.2061,2
2G3330483+0073060,333.0484,0.7306,0.25,0.73,0.45,0.61,0.14,175,98,0.79,0.08,0.16,R,,1G333049+007283,G333.045+00.731,,,Simbad,243.8966,-49.8154,2
2G0276122+0001667,27.6122,0.0167,0.28,0.78,0.59,0.69,0.14,12,98,0.65,0.09,0.18,R,,1G027612+000203,G027.611+00.020,9.7,,Simbad,280.4133,-4.7254,2
2G3500949+0010832,350.095,0.1083,0.04,0.25,0.17,0.21,0.03,57,13,0.73,,0.26,C,,,G350.094+00.107,,,Simbad,259.8298,-37.1751,2
2G3367674+0024285,336.7674,0.2429,0.36,0.43,0.31,0.38,0.13,25,61,0.69,0.14,0.11,R,,1G336766+002430,G336.766+00.243,,,Simbad,248.3702,-47.5036,2
2G0164283-0019930,16.4283,-0.1993,0.11,0.72,0.61,0.67,0.07,67,67,0.53,,0.27,C,,1G016429-001984,G016.424-00.201,3.9,,Simbad,275.3472,-14.7386,2
2G0027733+0010656,2.7734,0.1066,0.16,0.48,0.38,0.43,0.12,179,81,0.63,0.12,0.23,R,,1G002773+001072,G002.773+00.107,,CN35,Simbad,267.9176,-26.505,2
2G0253045+0053425,25.3045,0.5343,0.05,0.25,0.13,0.2,0.03,42,70,0.84,0.32,0.34,R,,,G025.305+00.532,,,Simbad,278.8874,-6.5385,2
2G0319270+0019810,31.927,0.1981,0.09,0.86,0.57,0.73,0.05,14,53,0.75,,0.13,C,P,1G031922+001987,G031.915+00.196,7.2,,Simbad,282.2249,-0.804,2
2G3303473-0023769,330.3473,-0.2377,0.03,0.19,0.14,0.17,0.01,75,62,0.67,,0.64,C,,,G330.347-00.238,,,Simbad,241.8008,-52.3653,2
2G3452853-0098167,345.2853,-0.9817,0.4,2.56,1.17,1.99,0.33,56,38,0.89,,0.21,C,,,,,,Simbad,257.3329,-41.7146,2
2G3389574-0003205,338.9574,-0.0321,0.06,0.17,0.15,0.16,0.05,46,59,0.4,0.11,0.13,R,,,G338.957-00.032,,,Simbad,250.8058,-46.0576,2
2G0104562-0000021,10.4562,-0.0002,0.18,0.68,0.43,0.57,0.07,7,40,0.77,,0.17,C,,1G010455-000010,G010.453-00.006,,,Simbad,272.1765,-19.8913,2
2G2988409+0011938,298.8409,0.1194,0.62,0.54,0.46,0.5,0.3,168,88,0.54,0.09,0.14,R,,1G298836+001155,G298.846+00.121,10.4,,Simbad,183.9806,-62.4699,2
2G0163793-0030790,16.3793,-0.3079,0.07,0.31,0.29,0.3,0.02,170,120,0.38,,0.15,C,,1G016379-003073,G016.380-00.308,,,Simbad,275.4224,-14.8329,2
2G3125963+0022743,312.5964,0.2274,0.47,1.01,0.72,0.88,0.27,47,47,0.7,,0.22,C,,1G312596+002219,,,,Simbad,213.192,-61.109,2
2G3579667-0016881,357.9667,-0.1688,0.06,0.23,0.18,0.21,0.07,145,118,0.65,0.13,0.3,R,,1G357967-001679,G357.966-00.168,,,Simbad,265.3401,-30.7554,2
2G0058529+0052360,5.8529,0.5236,0.12,0.81,0.61,0.72,0.09,171,63,0.66,,0.23,C,,1G005854+005245,,,,Simbad,269.2412,-23.6379,2
2G3080669-0043237,308.067,-0.4324,0.18,0.33,0.24,0.29,0.09,31,120,0.69,0.11,0.15,R,,1G308067-004326,G308.067-00.432,,,Simbad,204.1715,-62.8521,2
2G3562769-0007904,356.2769,-0.079,0.41,0.68,0.47,0.58,0.21,58,93,0.72,0.07,0.1,C,,1G356278-000799,G356.277-00.080,,,Simbad,264.1948,-32.1371,2
2G0346021-0041059,34.6021,-0.4106,0.21,0.39,0.33,0.36,0.16,177,118,0.57,0.31,0.33,R,,1G034603-004112,G034.600-00.412,,N63,Simbad,283.9867,1.2991,2
2G0378802-0031961,37.8802,-0.3196,0.95,3.9,2.8,3.39,0.49,70,65,0.7,,0.15,C,,1G037856-002996,,,,Simbad,285.4053,4.2566,2
2G0051388-0009338,5.1388,-0.0934,0.21,0.55,0.41,0.49,0.13,57,76,0.67,,0.15,C,,1G005138-000897,G005.139-00.094,,,Simbad,269.434,-24.5651,2
2G3061840-0035349,306.1841,-0.3535,0.17,0.42,0.31,0.37,0.13,161,78,0.68,0.13,0.09,R,,,G306.181-00.353,,,Simbad,200.0486,-63.0435,2
2G3183482-0069734,318.3482,-0.6974,0.13,0.93,0.71,0.83,0.2,93,77,0.64,,0.21,C,,,G318.352-00.690,,,Simbad,224.6592,-59.7065,2
2G3135731+0032833,313.5731,0.3283,0.52,0.58,0.36,0.48,0.31,42,65,0.78,0.11,0.11,C,,,G313.578+00.327,,,Simbad,215.0262,-60.6984,2
2G0148521-0060041,14.8521,-0.6004,0.06,0.49,0.43,0.46,0.05,71,69,0.48,,0.38,C,,1G014851-006013,G014.851-00.600,,,Simbad,274.9433,-16.3177,2
2G0229938-0015378,22.9939,-0.1538,0.2,1.22,0.98,1.1,0.18,172,120,0.59,,0.25,C,,1G022994-001535,G022.987-00.155,,,Simbad,278.4297,-8.9064,2
2G0236592-0025126,23.6592,-0.2513,0.14,0.62,0.48,0.55,0.13,168,73,0.62,,0.17,C,,1G023660-002527,G023.661-00.252,11.2,,Simbad,278.8273,-8.3608,2
2G0460972+0042410,46.0973,0.4241,0.15,0.42,0.37,0.4,0.14,10,108,0.48,0.27,0.37,R,,1G046098+004196,G046.095+00.422,,,Simbad,288.5641,11.8925,2
2G3309356-0025733,330.9357,-0.2573,0.11,0.35,0.22,0.29,0.06,59,81,0.77,0.11,0.13,R,,1G330936-002567,G330.937-00.258,,,Simbad,242.5305,-51.9827,2
2G0240427+0020432,24.0427,0.2043,0.06,0.16,0.12,0.14,0.07,146,115,0.65,0.12,0.15,R,,,G024.043+00.204,,,Simbad,278.5971,-7.8106,2
2G3296466+0009460,329.6466,0.0946,0.14,0.37,0.33,0.35,0.09,36,99,0.45,0.1,0.18,R,,1G329646+000954,G329.649+00.094,,,Simbad,240.5788,-52.5829,2
2G3166722+0036981,316.6722,0.3698,0.07,0.34,0.24,0.3,0.05,41,15,0.71,,0.16,C,,1G316672+003695,G316.673+00.370,,S112,Simbad,220.7553,-59.4919,2
2G0205581+0005781,20.5581,0.0578,0.48,0.77,0.46,0.63,0.18,66,92,0.8,,0.13,C,,,G020.550+00.053,9.1,,Simbad,277.0947,-10.9676,2
2G3210481-0080591,321.0482,-0.8059,1.51,4.98,3.6,4.34,0.82,170,82,0.69,,0.28,C,,,G321.061-00.763,,,Simbad,229.3178,-58.4516,2
2G3308243-0033990,330.8243,-0.3399,0.28,1.05,0.65,0.87,0.19,87,106,0.79,0.08,0.12,C,D,1G330825-003463,,,,Simbad,242.4885,-52.119,2
2G3515565+0020027,351.5565,0.2003,0.96,1.04,0.79,0.92,0.37,51,103,0.64,0.09,0.17,R,,1G351553+002033,G351.557+00.211,,CS83,Simbad,260.772,-35.9214,2
2G0111136-0039868,11.1136,-0.3987,0.65,0.62,0.41,0.53,0.32,47,98,0.75,0.05,0.12,C,,,G011.112-00.402,16.4,,Simbad,272.8844,-19.5082,2
2G3332438-0029146,333.2439,-0.2915,0.65,2.77,2.17,2.49,0.43,170,94,0.62,,0.36,C,,1G333236-002965,G333.215-00.298,,,Simbad,245.2281,-50.4103,2
2G3142411+0048910,314.2412,0.4891,1.36,3.62,2.26,3.02,0.86,61,93,0.78,0.13,0.23,R,,1G314234+004579,G314.220+00.477,,S116,Simbad,216.188,-60.3175,2
2G3122606+0026520,312.2606,0.2652,0.08,0.28,0.18,0.24,0.05,31,45,0.78,0.19,0.15,R,,1G312261+002665,G312.262+00.267,,,Simbad,212.5054,-61.1752,2
2G0329492-0037419,32.9492,-0.3742,0.24,0.44,0.36,0.4,0.12,170,137,0.56,0.12,0.11,C,,,G032.946-00.376,,,Simbad,283.2004,-0.1552,2
2G0075150+0039232,7.515,0.3923,0.52,0.58,0.48,0.54,0.21,25,119,0.56,0.28,0.11,R,,,,,,Simbad,270.2648,-22.2627,2
2G3399790-0055057,339.979,-0.5506,0.23,0.91,0.78,0.85,0.2,26,78,0.51,0.09,0.21,R,,1G339980-005491,G339.977-00.550,,,Simbad,252.3239,-45.6174,2
2G0107849-0051042,10.7849,-0.5104,0.6,10.99,6.08,8.88,0.51,139,58,0.83,,0.14,C,,1G010748-004703,G010.769-00.487,,N2,Simbad,272.8203,-19.8501,2
2G3326729-0061798,332.673,-0.618,0.25,1.78,1.11,1.48,0.27,5,92,0.78,0.36,0.34,R,,1G332678-006262,G332.657-00.622,3.3,S51,Simbad,244.9501,-51.044,2
2G0485859-0001317,48.5859,-0.0132,0.3,0.71,0.57,0.65,0.21,39,99,0.6,0.16,0.31,R,,1G048587-000113,G048.584-00.015,,,Simbad,290.1531,13.8888,2
2G0061078-0017482,6.1078,-0.1748,0.18,0.31,0.26,0.29,0.11,40,83,0.56,0.06,0.11,C,,1G006109-001759,,,,Simbad,270.0411,-23.7658,2
2G0173620-0004146,17.3621,-0.0415,0.12,0.58,0.33,0.47,0.08,39,43,0.83,,0.28,C,,1G017364-000376,,,,Simbad,275.6564,-13.8402,2
2G3580016-0016516,358.0016,-0.1652,0.16,0.56,0.46,0.51,0.15,1,85,0.56,0.23,0.19,R,,1G358001-001641,G358.001-00.168,,CS18,Simbad,265.358,-30.7239,2
2G0194937-0020413,19.4938,-0.2041,0.1,0.21,0.14,0.18,0.05,166,52,0.75,,0.18,C,,,G019.493-00.206,,,Simbad,276.8262,-12.0316,2
2G3231888+0012687,323.1889,0.1269,0.4,0.86,0.69,0.78,0.26,33,69,0.59,0.09,0.27,R,,1G323188+001278,G323.187+00.129,,,Simbad,231.7163,-56.5045,2
2G3571383+0024880,357.1384,0.2488,0.1,0.44,0.34,0.39,0.07,34,28,0.64,,0.14,C,,,G357.135+00.250,,,Simbad,264.4133,-31.2343,2
2G0431629-0051007,43.1629,-0.5101,0.04,0.37,0.23,0.31,0.04,147,115,0.78,,0.31,C,,1G043163-005099,G043.159-00.508,,,Simbad,288.0222,8.8594,2
2G3455074-0092586,345.5074,-0.9259,1.28,3.77,3.02,3.42,0.94,61,121,0.6,0.1,0.14,R,,1G345510-009098,,,,Simbad,257.4497,-41.5029,2
2G0239039+0006987,23.9039,0.0699,0.09,0.4,0.33,0.37,0.06,171,112,0.58,0.19,0.33,R,,1G023904+000704,G023.907+00.074,2.9,N32,Simbad,278.653,-7.9957,2
2G0403994+0068736,40.3995,0.6874,0.26,1.89,1.22,1.59,0.15,175,34,0.77,,0.18,C,,1G040414+006912,G040.399+00.683,,,Simbad,285.6647,6.9573,2
2G0241497+0012301,24.1497,0.123,0.56,1.14,0.9,1.03,0.35,56,111,0.61,0.19,0.3,R,,1G024150+001239,G024.138+00.123,8.9,,Simbad,278.7197,-7.753,2
2G0369673-0026022,36.9673,-0.2602,0.22,1.45,1.15,1.31,0.21,29,106,0.61,0.05,0.2,R,,1G036971-002625,G036.966-00.265,,,Simbad,284.9338,3.4719,2
2G3278048-0062574,327.8049,-0.6258,0.28,0.44,0.35,0.39,0.15,67,91,0.62,0.05,0.24,R,,1G327807-006277,G327.807-00.629,,,Simbad,239.0156,-54.3279,2
2G0535972+0004682,53.5973,0.0468,0.19,0.97,0.63,0.82,0.17,25,62,0.76,0.15,0.17,R,,1G053600+000497,G053.601+00.050,,,Simbad,292.5749,18.3281,2
2G0130783-0031497,13.0784,-0.315,0.1,0.37,0.28,0.33,0.05,169,65,0.66,,0.2,C,,1G013078-003131,G013.078-00.314,,,Simbad,273.8003,-17.7435,2
2G0391765-0039791,39.1765,-0.3979,0.57,1.12,0.88,1.01,0.31,26,104,0.62,0.13,0.33,R,,1G039172-003984,G039.176-00.399,9.4,,Simbad,286.0711,5.3729,2
